1,2,
3,4,
5,6,
7,8,
9,10,
11,12,
2,1,
4,3,
6,5,
8,7,
10,9,
12,11,
2,3,
4,5,
6,7,
8,9,
10,11,
12,13,
3,2,
5,4,
7,6,
9,8,
11,10,
13,12,
1.5,2.5,
3.5,4.5,
5.5,6.5,
7.5,8.5,
9.5,10.5,
11.5,12.5,
2.5,1.5,
4.5,3.5,
6.5,5.5,
8.5,7.5,
10.5,9.5,
12.5,11.5,
1.25,2.25,
3.25,4.25,
5.25,6.25,
7.25,8.25,
9.25,10.25,
11.25,12.25,
2.25,1.25,
4.25,3.25,
6.25,5.25,
8.25,7.25,
10.25,9.25,
12.25,11.25,
1.75,2.75,
3.75,4.75,
5.75,6.75,
7.75,8.75,
9.75,10.75,
11.75,12.75,
2.75,1.75,
4.75,3.75,
6.75,5.75,
8.75,7.75,
10.75,9.75,
12.75,11.75,
